"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2011","2011",54851,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2012","2012",56363,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2013","2013",57623,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2014","2014",59070,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2015","2015",60138,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2016","2016",61899,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2017","2017",63615,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2018","2018",66561,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2019","2019",68724,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2020","2020",70452,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2021","2021",72657,,
"BEL","Belgium","TNBD","Total number of doctors","TOT","Total","2022","2022",74518,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2008","2008",75155,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2009","2009",78623,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2010","2010",80895,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2011","2011",84313,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2012","2012",87306,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2013","2013",90205,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2014","2014",92708,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2015","2015",95206,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2016","2016",97169,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2017","2017",99811,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2018","2018",102909,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2019","2019",104593,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2020","2020",105504,,
"CAN","Canada","TNBD","Total number of doctors","TOT","Total","2021","2021",107303,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2008","2008",43280,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2009","2009",42883,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2010","2010",42614,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2011","2011",42166,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2012","2012",41582,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2013","2013",42174,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2014","2014",41671,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2015","2015",41893,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2016","2016",42682,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2017","2017",43283,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2018","2018",43951,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2019","2019",43994,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2020","2020",44388,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2021","2021",44932,,
"CZE","Czechia","TNBD","Total number of doctors","TOT","Total","2022","2022",45506,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2008","2008",19663,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2009","2009",20164,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2010","2010",20669,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2011","2011",21107,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2012","2012",21456,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2013","2013",21610,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2014","2014",21881,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2015","2015",22335,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2016","2016",22904,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2017","2017",23689,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2018","2018",24306,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2019","2019",24715,,
"DNK","Denmark","TNBD","Total number of doctors","TOT","Total","2020","2020",25522,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2008","2008",19500,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2009","2009",20306,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2010","2010",20306,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2011","2011",21218,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2012","2012",21642,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2013","2013",22073,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2014","2014",22456,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2015","2015",22791,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2016","2016",23118,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2017","2017",23347,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2018","2018",23489,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2019","2019",23738,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2020","2020",23935,,
"FIN","Finland","TNBD","Total number of doctors","TOT","Total","2021","2021",24252,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2008","2008",213821,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2009","2009",212044,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2010","2010",213442,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2011","2011",199085,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2012","2012",201075,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2013","2013",203227,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2014","2014",205018,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2015","2015",206688,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2016","2016",208245,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2017","2017",210017,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2018","2018",210549,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2019","2019",213180,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2020","2020",214293,,
"FRA","France","TNBD","Total number of doctors","TOT","Total","2021","2021",215722,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2008","2008",292129,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2009","2009",297835,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2010","2010",305093,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2011","2011",312695,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2012","2012",318887,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2013","2013",326945,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2014","2014",334277,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2015","2015",339728,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2016","2016",346390,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2017","2017",352869,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2018","2018",359099,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2019","2019",367100,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2020","2020",373298,,
"DEU","Germany","TNBD","Total number of doctors","TOT","Total","2021","2021",378629,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2008","2008",37409,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2009","2009",37102,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2010","2010",33770,"B","Break"
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2011","2011",32966,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2012","2012",33454,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2013","2013",32668,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2014","2014",32791,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2015","2015",30486,"B","Break"
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2016","2016",31515,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2017","2017",32543,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2018","2018",33078,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2019","2019",34137,,
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2020","2020",30610,"B","Break"
"HUN","Hungary","TNBD","Total number of doctors","TOT","Total","2021","2021",32026,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2011","2011",18812,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2012","2012",18184,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2013","2013",18160,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2014","2014",19066,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2015","2015",20454,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2016","2016",21920,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2017","2017",22693,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2018","2018",23012,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2019","2019",23574,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2020","2020",25005,,
"IRL","Ireland","TNBD","Total number of doctors","TOT","Total","2021","2021",25959,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2008","2008",46580,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2009","2009",47690,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2010","2010",49013,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2011","2011",51939,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2012","2012",54511,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2013","2013",55681,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2014","2014",57762,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2015","2015",59144,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2016","2016",60233,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2017","2017",61730,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2018","2018",63278,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2019","2019",65121,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2020","2020",67100,,
"NLD","Netherlands","TNBD","Total number of doctors","TOT","Total","2021","2021",68363,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2008","2008",12745,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2009","2009",13174,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2010","2010",13621,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2011","2011",14039,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2012","2012",14272,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2013","2013",14563,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2014","2014",14786,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2015","2015",15210,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2016","2016",15764,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2017","2017",16368,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2018","2018",17025,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2019","2019",17697,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2020","2020",17635,"B","Break"
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2021","2021",18227,,
"NZL","New Zealand","TNBD","Total number of doctors","TOT","Total","2022","2022",18753,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2009","2009",19513,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2010","2010",20061,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2011","2011",20681,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2012","2012",21185,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2013","2013",21821,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2014","2014",22692,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2015","2015",23040,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2016","2016",23917,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2017","2017",24906,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2018","2018",25700,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2019","2019",26452,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2020","2020",27237,,
"NOR","Norway","TNBD","Total number of doctors","TOT","Total","2021","2021",27781,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2008","2008",119604,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2009","2009",120288,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2010","2010",121597,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2011","2011",123281,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2012","2012",125073,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2013","2013",127183,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2014","2014",129031,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2015","2015",131059,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2016","2016",133283,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2017","2017",135468,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2018","2018",138036,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2019","2019",140589,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2020","2020",142718,,
"POL","Poland","TNBD","Total number of doctors","TOT","Total","2021","2021",146107,,
"SVK","Slovak Republic","TNBD","Total number of doctors","TOT","Total","2010","2010",16575,,
"SVK","Slovak Republic","TNBD","Total number of doctors","TOT","Total","2011","2011",16899,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2008","2008",34604,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2009","2009",35550,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2010","2010",36524,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2011","2011",37499,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2012","2012",38541,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2013","2013",39638,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2014","2014",40637,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2015","2015",40900,"B","Break"
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2016","2016",42003,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2017","2017",42938,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2018","2018",43969,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2019","2019",44061,,
"SWE","Sweden","TNBD","Total number of doctors","TOT","Total","2020","2020",44719,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2008","2008",29653,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2009","2009",30166,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2010","2010",30273,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2011","2011",30849,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2012","2012",31858,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2013","2013",33242,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2014","2014",34348,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2015","2015",35325,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2016","2016",36175,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2017","2017",36900,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2018","2018",37525,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2019","2019",37882,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2020","2020",38502,,
"CHE","Switzerland","TNBD","Total number of doctors","TOT","Total","2021","2021",39222,,
"TUR","Türkiye","TNBD","Total number of doctors","TOT","Total","2008","2008",113151,,
"TUR","Türkiye","TNBD","Total number of doctors","TOT","Total","2009","2009",118641,,
"TUR","Türkiye","TNBD","Total number of doctors","TOT","Total","2010","2010",123447,,
"TUR","Türkiye","TNBD","Total number of doctors","TOT","Total","2011","2011",126029,,
"TUR","Türkiye","TNBD","Total number of doctors","TOT","Total","2012","2012",129772,,
"TUR","Türkiye","TNBD","Total number of doctors","TOT","Total","2013","2013",133775,,
"TUR","Türkiye","TNBD","Total number of doctors","TOT","Total","2014","2014",135616,,
"TUR","Türkiye","TNBD","Total number of doctors","TOT","Total","2015","2015",141259,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2008","2008",147417,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2009","2009",153838,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2010","2010",155310,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2011","2011",158439,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2012","2012",160378,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2013","2013",169015,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2014","2014",172721,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2015","2015",166324,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2016","2016",168801,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2017","2017",171527,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2018","2018",174845,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2019","2019",191326,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2020","2020",199415,,
"GBR","United Kingdom","TNBD","Total number of doctors","TOT","Total","2021","2021",207596,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2008","2008",683965,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2010","2010",729147,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2011","2011",791602,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2012","2012",834557,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2013","2013",859470,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2014","2014",851970,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2015","2015",856446,,
"USA","United States","TNBD","Total number of doctors","TOT","Total","2016","2016",862965,,
"CHL","Chile","TNBD","Total number of doctors","TOT","Total","2014","2014",36013,,
"CHL","Chile","TNBD","Total number of doctors","TOT","Total","2015","2015",38580,,
"CHL","Chile","TNBD","Total number of doctors","TOT","Total","2016","2016",41722,,
"CHL","Chile","TNBD","Total number of doctors","TOT","Total","2017","2017",45088,,
"CHL","Chile","TNBD","Total number of doctors","TOT","Total","2018","2018",48531,,
"CHL","Chile","TNBD","Total number of doctors","TOT","Total","2019","2019",51754,,
"CHL","Chile","TNBD","Total number of doctors","TOT","Total","2020","2020",54196,,
"CHL","Chile","TNBD","Total number of doctors","TOT","Total","2021","2021",57952,,
"CHL","Chile","TNBD","Total number of doctors","TOT","Total","2022","2022",62144,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2008","2008",5525,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2009","2009",5634,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2010","2010",5764,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2011","2011",5884,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2012","2012",6018,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2013","2013",6159,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2014","2014",6293,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2015","2015",6420,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2016","2016",6535,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2017","2017",6664,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2018","2018",6786,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2019","2019",6882,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2020","2020",6972,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2021","2021",7065,,
"EST","Estonia","TNBD","Total number of doctors","TOT","Total","2022","2022",7161,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2008","2008",24931,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2009","2009",25405,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2010","2010",25791,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2011","2011",26297,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2012","2012",26650,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2013","2013",26908,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2014","2014",27185,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2015","2015",27632,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2016","2016",28093,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2017","2017",28683,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2018","2018",29592,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2019","2019",30484,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2020","2020",31389,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2021","2021",32522,,
"ISR","Israel","TNBD","Total number of doctors","TOT","Total","2022","2022",33553,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2010","2010",4979,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2011","2011",5121,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2012","2012",5228,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2013","2013",5416,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2014","2014",5712,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2015","2015",5830,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2016","2016",6012,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2017","2017",6311,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2018","2018",6409,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2019","2019",6514,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2020","2020",6645,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2021","2021",6838,,
"SVN","Slovenia","TNBD","Total number of doctors","TOT","Total","2022","2022",7098,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2008","2008",365544,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2009","2009",369650,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2010","2010",373616,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2011","2011",377376,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2012","2012",380785,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2013","2013",383886,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2014","2014",387405,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2015","2015",390702,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2016","2016",394906,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2017","2017",396007,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2018","2018",402811,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2019","2019",408442,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2020","2020",422333,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2021","2021",429552,,
"ITA","Italy","TNBD","Total number of doctors","TOT","Total","2022","2022",434631,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2008","2008",63244,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2009","2009",64326,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2010","2010",64032,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2011","2011",64145,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2012","2012",63838,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2013","2013",63736,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2014","2014",63906,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2015","2015",63866,,
"GRC","Greece","TNBD","Total number of doctors","TOT","Total","2016","2016",65972,,
